If found, please contact tlang@live.unc.edu
Firmware updated: 2023/03/14
OpenOBS SN:301

time,ambient_light,backscatter,pressure,water_temp,battery
1684800123,0,11410,8737,2175,411
1684801023,0,11600,8733,2166,404
1684801923,0,11495,8733,2156,405
1684802823,0,11776,8733,2147,404
1684803723,0,11971,8739,2138,406
1684804623,0,12122,8733,2128,403
1684805523,0,12365,8734,2118,403
1684806423,0,12603,8734,2110,402
1684807323,0,12429,8734,2103,403
1684808223,0,12293,8735,2096,403
1684809123,0,12263,8732,2087,403
1684810023,0,12034,8731,2079,405
1684810923,0,12222,8727,2071,404
1684811823,0,12387,8727,2064,404
1684812723,0,12536,8733,2056,403
1684813623,0,12895,8732,2046,403
1684814523,0,13047,8731,2037,405
1684815423,0,13364,8734,2029,403
1684816323,0,13645,8733,2024,405
1684817223,0,14085,8734,2016,404
1684818123,6,14440,8736,2008,404
1684819023,44,14490,8736,2001,405
1684819923,117,14865,8734,1995,405
1684820823,209,15082,8739,1989,405
1684821723,257,15793,8741,1984,405
1684822623,337,15947,8741,1979,404
1684823523,251,14460,8742,1978,405
1684824423,326,14026,8742,1977,404
1684825323,496,14325,8742,1976,405
1684826223,594,14512,8742,1976,405
1684827123,626,14752,8743,1973,403
1684828023,864,15000,8750,1975,405
1684828923,1136,14811,8751,1979,405
1684829823,1410,15128,8751,1981,404
1684830723,1717,14349,8751,1986,405
1684831623,2069,14178,8755,1993,404
1684832523,2648,14449,8752,2001,405
1684833423,3571,12740,8748,2016,405
1684834323,3988,12158,8751,2037,406
1684835223,4203,12239,8755,2057,407
1684836123,4750,12276,8761,2079,403
1684837023,4565,9626,8762,2096,405
1684837923,4021,9884,8761,2111,403
1684838823,3375,10115,8757,2123,403
1684839723,2571,7628,8755,2129,403
1684840623,2170,7521,8761,2131,408
1684841523,3667,6718,8761,2136,404
1684842423,5396,6880,8754,2159,407
1684843323,5487,5635,8750,2195,405
1684844223,6436,5795,8748,2245,408
1684845123,6398,6051,8744,2298,405
1684846023,5909,4085,8740,2345,406
1684846923,6274,4168,8736,2391,406
1684847823,5452,4369,8737,2432,406
1684848723,3710,4742,8731,2472,406
1684849623,4251,5079,8728,2514,406
1684850523,5595,5395,8717,2549,406
1684851423,5525,5491,8708,2577,406
1684852323,4115,5708,8710,2612,405
1684853223,3870,5884,8711,2626,404
1684854123,3293,6055,8710,2645,403
1684855023,3905,6264,8702,2670,404
1684855923,3066,6561,8700,2688,403
1684856823,2925,6823,8701,2701,404
1684857723,1845,6887,8694,2706,406
1684858623,1433,7185,8693,2687,406
1684859523,1101,7461,8693,2653,403
1684860423,798,7584,8692,2637,405
1684861323,1296,7937,8691,2623,406
1684862223,789,8372,8690,2611,405
1684863123,325,8915,8693,2586,406
1684864023,195,9321,8692,2554,405
1684864923,75,9882,8695,2534,406
1684865823,53,10219,8698,2516,401
1684866723,32,10575,8700,2495,405
1684867623,13,10884,8702,2471,407
1684868523,2,11119,8704,2446,401
1684869423,0,11359,8707,2426,406
1684870323,0,11813,8723,2403,406
1684871223,0,12225,8740,2374,401
1684872123,0,12136,8747,2352,401
1684873023,0,12290,8742,2329,401
1684873923,0,12528,8741,2307,405
1684874823,0,12969,8740,2285,400
1684875723,0,13293,8745,2264,405
1684876623,0,13628,8744,2242,405
1684877523,0,14071,8743,2223,406
1684878423,0,14424,8747,2208,405
1684879323,0,14749,8750,2195,405
1684880223,0,15164,8746,2182,405
1684881123,0,15516,8749,2168,406
1684882023,0,15442,8747,2156,405
1684882923,0,15903,8742,2143,404
1684883823,0,16140,8733,2133,406
1684884723,0,16308,8729,2122,403
1684885623,0,16588,8724,2114,404
1684873023,0,12290,8742,2329,401
