If found, please contact tlang@live.unc.edu
Firmware updated: 2023/03/14
OpenOBS SN:301

time,ambient_light,backscatter,pressure,water_temp,battery
1687392123,1,29626,8619,2322,424
1687393023,0,29648,8618,2319,420
1687393923,0,29664,8618,2313,420
1687394823,0,29686,8621,2307,419
1687395723,0,29698,8620,2302,419
1687396623,0,29715,8618,2297,420
1687397523,1,29730,8620,2291,420
1687398423,0,29756,8620,2284,418
1687399323,1,29775,8618,2280,418
1687400223,1,29785,8613,2277,419
1687401123,1,29806,8616,2273,421
1687402023,1,29820,8616,2271,421
1687402923,1,29839,8616,2269,417
1687403823,1,29851,8615,2266,418
1687404723,1,29860,8615,2264,418
1687405623,1,29877,8618,2264,419
1687406523,1,29888,8618,2270,419
1687407423,0,29908,8616,2277,419
1687408323,0,29915,8612,2273,419
1687409223,0,29928,8613,2267,419
1687410123,0,29939,8616,2260,418
1687411023,1,29954,8616,2253,419
1687411923,0,29963,8619,2248,418
1687412823,1,29972,8621,2248,419
1687413723,1,29983,8619,2256,418
1687414623,1,29990,8620,2253,419
1687415523,1,30003,8620,2260,420
1687416423,1,30011,8623,2268,420
1687417323,0,30023,8623,2274,419
1687418223,1,30029,8627,2284,421
1687419123,1,30033,8625,2291,419
1687420023,0,30043,8626,2298,418
1687420923,1,30049,8630,2302,418
1687421823,1,30058,8628,2310,419
1687422723,1,30077,8629,2322,418
1687423623,1,30087,8630,2332,419
1687424523,0,30082,8627,2356,418
1687425423,1,30080,8631,2376,419
1687426323,0,30057,8654,2419,421
1687427223,1,30055,8653,2455,420
1687428123,1,30052,8647,2476,421
1687429023,0,30036,8645,2512,421
1687429923,0,30029,8644,2528,421
1687430823,1,30010,8640,2556,418
1687431723,1,29999,8636,2592,418
1687432623,1,29979,8635,2612,421
1687433523,0,29958,8635,2627,421
1687434423,1,29932,8638,2648,420
1687435323,0,29906,8632,2645,421
1687436223,0,29891,8631,2644,418
1687437123,1,29871,8628,2631,420
1687438023,2,29833,8626,2628,421
1687438923,0,29821,8626,2612,421
1687439823,1,29791,8626,2507,421
1687440723,1,29758,8626,2483,421
1687441623,0,29732,8622,2464,422
1687442523,0,29703,8624,2454,420
1687443423,1,29673,8624,2457,420
1687444323,1,29641,8620,2462,420
1687445223,0,29605,8619,2470,420
1687446123,1,29564,8617,2464,420
1687447023,1,29536,8613,2487,421
1687447923,1,29507,8610,2483,421
1687448823,92,28005,8605,2471,421
1687449723,27,29206,8602,2464,421
1687450623,26,30018,8603,2445,421
1687451523,36,30357,8598,2429,421
1687452423,12,30701,8599,2420,422
1687453323,23,30995,8599,2376,421
1687454223,30,31123,8601,2366,420
1687455123,20,31225,8598,2379,421
1687456023,9,31353,8598,2365,419
1687456923,49,31267,8595,2359,419
1687457823,37,31281,8596,2352,419
1687458723,18,31361,8600,2358,420
1687459623,9,31401,8601,2332,421
1687460523,2,31463,8604,2321,419
1687461423,1,31498,8606,2342,419
1687462323,1,31541,8605,2372,422
1687463223,1,31488,8603,2403,420
1687464123,0,31490,8609,2406,422
1687465023,0,31427,8610,2397,420
1687465923,1,31395,8611,2398,421
1687466823,1,31302,8614,2396,420
1687467723,0,31233,8620,2390,419
1687468623,0,31169,8634,2388,419
1687469523,1,31117,8639,2389,421
1687470423,1,31159,8678,2382,420
1687471323,0,31281,8671,2366,422
1687472223,1,31331,8663,2370,422
1687473123,0,31357,8668,2371,421
1687474023,1,31391,8662,2367,421
1687474923,1,31426,8656,2361,421
1687475823,1,31399,8652,2355,420
1687476723,1,31387,8652,2350,421
1687477623,0,31428,8649,2344,420
1687465023,0,31427,8610,2397,420
1687465923,1,31395,8611,2398,421
1687466823,1,31302,8614,2396,420
1687467723,0,31233,8620,2390,419
