timestamp,temp_f,rainfall_mm
12/31/22 23:46,35.37,0
1/1/23 0:01,34.59,0
1/1/23 0:16,33.805,0
1/1/23 0:31,33.607,0
1/1/23 0:46,34.002,0
1/1/23 1:01,34.198,0
1/1/23 1:16,34.394,0
1/1/23 1:31,34.59,0
1/1/23 1:46,34.394,0
1/1/23 2:01,34.394,0
1/1/23 2:16,34.198,0
1/1/23 2:31,34.198,0
1/1/23 2:46,34.002,0
1/1/23 3:01,33.213,0
1/1/23 3:16,32.617,0
1/1/23 3:31,32.418,0
1/1/23 3:46,33.013,0
1/1/23 4:01,33.411,0
1/1/23 4:16,33.607,0
1/1/23 4:31,33.607,0
1/1/23 4:46,33.607,0
1/1/23 5:01,33.411,0
1/1/23 5:16,33.213,0
1/1/23 5:31,33.213,0
1/1/23 5:46,33.013,0
1/1/23 6:01,32.218,0
1/1/23 6:16,32.018,0
1/1/23 6:31,32.218,0
1/1/23 6:46,32.218,0
1/1/23 7:01,32.018,0
1/1/23 7:16,32.617,0
1/1/23 7:31,33.213,0
1/1/23 7:46,34.002,0
1/1/23 8:01,34.981,0
1/1/23 8:16,36.531,0
1/1/23 8:31,41.994,0
1/1/23 8:46,47.266,0
1/1/23 9:01,51.346,0
1/1/23 9:16,55.364,0
1/1/23 9:31,59.337,0
1/1/23 9:46,62.598,0
1/1/23 10:01,64.481,0
1/1/23 10:16,63.282,0
1/1/23 10:31,62.769,0
1/1/23 10:46,58.993,0
1/1/23 11:01,55.537,0
1/1/23 11:16,53.449,0
1/1/23 11:31,52.75,0
1/1/23 11:46,53.449,0
1/1/23 12:01,54.495,0
1/1/23 12:16,57.268,0
1/1/23 12:31,61.054,0
1/1/23 12:46,64.825,0
1/1/23 13:01,68.934,0
1/1/23 13:16,70.824,0
1/1/23 13:31,63.797,0
1/1/23 13:46,58.303,0
1/1/23 14:01,55.537,0
1/1/23 14:16,58.476,0
1/1/23 14:31,59.68,0
1/1/23 14:46,57.268,0
1/1/23 15:01,57.096,0
1/1/23 15:16,59.68,0
1/1/23 15:31,57.614,0
1/1/23 15:46,55.189,0
1/1/23 16:01,53.623,0
1/1/23 16:16,51.874,0
1/1/23 16:31,50.113,0
1/1/23 16:46,49.228,0
1/1/23 17:01,48.517,0
1/1/23 17:16,47.088,0
1/1/23 17:31,45.648,0
1/1/23 17:46,44.195,0
1/1/23 18:01,42.915,0
1/1/23 18:16,42.179,0
1/1/23 18:31,41.81,0
1/1/23 18:46,41.254,0
1/1/23 19:01,40.509,0
1/1/23 19:16,39.76,0
1/1/23 19:31,38.818,0
1/1/23 19:46,38.061,0
1/1/23 20:01,37.87,0
1/1/23 20:16,37.297,0
1/1/23 20:31,36.914,0
1/1/23 20:46,36.531,0
1/1/23 21:01,36.531,0
1/1/23 21:16,36.145,0
1/1/23 21:31,36.338,0
1/1/23 21:46,36.338,0
1/1/23 22:01,36.338,0
1/1/23 22:16,36.338,0
1/1/23 22:31,36.338,0
1/1/23 22:46,36.338,0
1/1/23 23:01,36.723,0
1/1/23 23:16,38.061,0
1/1/23 23:31,39.196,0
1/1/23 23:46,39.573,0
1/2/23 0:01,39.76,0
1/2/23 0:16,40.134,0
1/2/23 0:31,40.321,0
1/2/23 0:46,40.509,0
1/2/23 1:01,40.134,0
1/2/23 1:16,39.947,0
1/2/23 1:31,40.134,0
1/2/23 1:46,40.321,0
1/2/23 2:01,40.134,0
1/2/23 2:16,39.76,0
1/2/23 2:31,39.384,0
1/2/23 2:46,39.007,0
1/2/23 3:01,38.44,0
1/2/23 3:16,37.679,0
1/2/23 3:31,36.531,0
1/2/23 3:46,35.951,0
1/2/23 4:01,35.175,0
1/2/23 4:16,34.786,0
1/2/23 4:31,34.59,0
1/2/23 4:46,34.59,0
1/2/23 5:01,34.59,0
1/2/23 5:16,34.59,0
1/2/23 5:31,34.394,0
1/2/23 5:46,34.198,0
1/2/23 6:01,34.002,0
1/2/23 6:16,34.002,0
1/2/23 6:31,33.805,0
1/2/23 6:46,33.607,0
1/2/23 7:01,33.411,0
1/2/23 7:16,33.411,0
1/2/23 7:31,34.002,0
1/2/23 7:46,34.59,0
1/2/23 8:01,35.37,0
1/2/23 8:16,36.914,0
1/2/23 8:31,43.099,0
1/2/23 8:46,49.228,0
1/2/23 9:01,51.699,0
1/2/23 9:16,54.495,0
1/2/23 9:31,58.303,0
1/2/23 9:46,61.054,0
1/2/23 10:01,63.111,0
1/2/23 10:16,63.797,0
1/2/23 10:31,63.111,0
1/2/23 10:46,62.94,0
1/2/23 11:01,65.338,0
1/2/23 11:16,66.022,0
1/2/23 11:31,67.05,0
1/2/23 11:46,68.421,0
1/2/23 12:01,67.392,0
1/2/23 12:16,66.193,0
1/2/23 12:31,65.509,0
1/2/23 12:46,67.05,0
